"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2009","2,069.88","2,090.74","2,100.77","2,060.62","6.05B","-1.01%"
"06/12/2009","2,090.94","2,089.79","2,106.98","2,073.34","8.46B","0.06%"
"06/11/2009","2,089.59","2,108.50","2,112.84","2,077.45","14.80B","-0.91%"
"06/10/2009","2,108.81","2,094.14","2,116.17","2,094.14","12.47B","0.74%"
"06/09/2009","2,093.29","2,057.07","2,096.93","2,057.03","6.59B","1.78%"
"06/08/2009","2,056.65","2,079.77","2,099.08","2,052.03","8.57B","-1.07%"
"06/05/2009","2,078.93","2,033.03","2,078.93","2,033.03","7.55B","2.27%"
"06/04/2009","2,032.72","2,010.81","2,033.05","1,989.79","5.78B","1.08%"
"06/03/2009","2,010.91","1,999.16","2,027.69","1,993.08","5.63B","0.61%"
"06/02/2009","1,998.64","1,999.20","2,043.95","1,991.96","11.75B","0.00%"
"06/01/2009","1,998.58","1,917.45","1,998.58","1,917.45","9.06B","4.26%"
"05/29/2009","1,916.83","1,903.19","1,941.79","1,903.19","12.84B","0.73%"
"05/28/2009","1,902.88","1,892.74","1,904.62","1,878.47","6.20B","0.53%"
"05/27/2009","1,892.84","1,858.41","1,902.08","1,858.41","7.32B","1.90%"
"05/26/2009","1,857.59","1,891.18","1,905.91","1,852.02","9.10B","-1.77%"
"05/25/2009","1,890.97","1,881.40","1,898.05","1,878.65","7.11B","0.49%"
"05/22/2009","1,881.71","1,885.41","1,889.88","1,858.08","6.33B","-0.21%"
"05/20/2009","1,885.72","1,886.22","1,907.49","1,872.26","6.69B","-0.02%"
"05/19/2009","1,886.02","1,805.43","1,888.22","1,805.43","15.84B","4.57%"
"05/18/2009","1,803.57","1,750.49","1,804.87","1,712.64","13.73B","3.01%"
"05/15/2009","1,750.91","1,785.00","1,820.86","1,708.38","18.16B","-1.91%"
"05/14/2009","1,785.00","1,851.33","1,851.20","1,776.94","27.09B","-3.58%"
"05/13/2009","1,851.33","1,842.02","1,871.82","1,834.30","28.76B","0.51%"
"05/12/2009","1,842.02","1,830.74","1,842.73","1,796.94","13.85B","0.62%"
"05/11/2009","1,830.74","1,862.53","1,891.77","1,827.16","22.57B","-1.71%"
"05/08/2009","1,862.53","1,828.85","1,863.63","1,821.14","17.77B","1.84%"
"05/07/2009","1,828.85","1,798.34","1,840.48","1,800.38","16.89B","1.70%"
"05/06/2009","1,798.34","1,772.07","1,799.62","1,761.11","9.01B","1.48%"
"05/05/2009","1,772.07","1,788.15","1,823.38","1,759.48","11.30B","-0.90%"
"05/04/2009","1,788.15","1,729.58","1,796.71","1,729.60","10.66B","3.39%"
"05/01/2009","1,729.58","1,722.77","1,738.71","1,701.99","11.32B","0.40%"
"04/30/2009","1,722.77","1,644.18","1,728.07","1,644.24","16.29B","4.78%"
"04/29/2009","1,644.18","1,595.91","1,648.63","1,595.97","6.96B","3.02%"
"04/28/2009","1,595.91","1,576.08","1,618.06","1,576.11","6.89B","1.26%"
"04/27/2009","1,576.08","1,591.34","1,598.96","1,574.23","5.93B","-0.96%"
"04/24/2009","1,591.34","1,592.70","1,609.97","1,576.29","8.67B","-0.09%"
"04/23/2009","1,592.70","1,615.23","1,615.25","1,585.92","7.34B","-1.39%"
"04/22/2009","1,615.23","1,628.85","1,674.92","1,610.46","14.54B","-0.84%"
"04/21/2009","1,628.85","1,661.85","1,661.78","1,606.33","22.08B","-1.99%"
"04/20/2009","1,661.85","1,634.79","1,661.85","1,618.88","19.74B","1.66%"
"04/17/2009","1,634.79","1,625.09","1,659.34","1,619.34","10.63B","0.60%"
"04/16/2009","1,625.09","1,593.66","1,641.80","1,593.78","18.19B","1.97%"
"04/15/2009","1,593.66","1,570.26","1,603.31","1,564.94","9.59B","1.49%"
"04/14/2009","1,570.26","1,540.40","1,573.39","1,536.67","8.15B","1.94%"
"04/13/2009","1,540.40","1,465.75","1,540.52","1,473.73","4.72B","5.09%"
"04/08/2009","1,465.75","1,490.86","1,491.11","1,460.04","3.10B","-1.68%"
"04/07/2009","1,490.86","1,516.64","1,516.57","1,483.72","2.93B","-1.70%"
"04/06/2009","1,516.64","1,500.36","1,527.18","1,500.45","2.85B","1.09%"
"04/03/2009","1,500.36","1,499.73","1,511.34","1,494.12","3.03B","0.04%"
"04/02/2009","1,499.73","1,461.75","1,500.00","1,461.81","3.22B","2.60%"
"04/01/2009","1,461.75","1,434.07","1,464.39","1,434.09","2.51B","1.93%"
"03/31/2009","1,434.07","1,419.09","1,453.77","1,417.34","1.56B","1.06%"
"03/30/2009","1,419.09","1,462.74","1,463.59","1,404.38","1.76B","-2.98%"
"03/27/2009","1,462.74","1,419.97","1,467.52","1,422.63","2.83B","3.01%"
"03/25/2009","1,419.97","1,436.12","1,448.47","1,418.26","2.81B","-1.12%"
"03/24/2009","1,436.12","1,406.65","1,449.95","1,408.16","3.67B","2.10%"
"03/23/2009","1,406.65","1,360.89","1,407.59","1,361.14","2.66B","3.36%"
"03/20/2009","1,360.89","1,341.60","1,364.31","1,341.15","1.63B","1.44%"
"03/19/2009","1,341.60","1,322.84","1,347.12","1,322.87","1.28B","1.42%"
"03/18/2009","1,322.84","1,312.09","1,324.09","1,312.39","1.18B","0.82%"
"03/17/2009","1,312.09","1,324.85","1,326.11","1,308.39","1.04B","-0.96%"
"03/16/2009","1,324.85","1,327.44","1,340.99","1,322.48","1.02B","-0.20%"
"03/13/2009","1,327.44","1,310.41","1,333.22","1,310.67","1.20B","1.30%"
"03/12/2009","1,310.41","1,314.52","1,318.15","1,305.26","727.31M","-0.31%"
"03/11/2009","1,314.52","1,300.21","1,319.51","1,300.52","1.37B","1.10%"
"03/10/2009","1,300.21","1,286.69","1,300.54","1,282.63","729.60M","1.05%"
"03/06/2009","1,286.69","1,288.07","1,290.62","1,278.86","583.87M","-0.11%"
"03/05/2009","1,288.07","1,289.38","1,300.20","1,282.22","1.35B","-0.10%"
"03/04/2009","1,289.38","1,264.82","1,289.80","1,261.50","1.32B","1.94%"
"03/03/2009","1,264.82","1,256.11","1,270.95","1,244.87","1.22B","0.69%"
"03/02/2009","1,256.11","1,285.48","1,285.31","1,252.87","1.07B","-2.28%"
"02/27/2009","1,285.48","1,292.28","1,293.95","1,281.08","1.04B","-0.38%"
"02/26/2009","1,290.32","1,303.75","1,303.75","1,281.77","1.96B","-0.75%"
"02/25/2009","1,300.11","1,301.08","1,312.34","1,290.17","2.04B","0.33%"
"02/24/2009","1,295.87","1,305.70","1,305.70","1,286.73","943.03M","-1.26%"
"02/23/2009","1,312.44","1,298.29","1,312.44","1,294.38","1.18B","1.20%"
"02/20/2009","1,296.94","1,320.62","1,320.62","1,291.41","1.88B","-2.02%"
"02/19/2009","1,323.70","1,330.82","1,330.82","1,313.72","2.36B","-0.52%"
"02/18/2009","1,330.61","1,312.48","1,331.63","1,304.35","1.44B","0.95%"
"02/17/2009","1,318.04","1,338.82","1,338.82","1,311.47","1.54B","-1.79%"
"02/16/2009","1,342.00","1,338.81","1,346.16","1,336.52","1.12B","0.24%"
"02/13/2009","1,338.74","1,326.87","1,342.76","1,325.56","1.73B","1.00%"
"02/12/2009","1,325.42","1,322.10","1,325.65","1,315.38","3.14B","0.05%"
"02/11/2009","1,324.82","1,327.39","1,327.39","1,302.04","3.07B","-0.55%"
"02/10/2009","1,332.13","1,342.27","1,342.27","1,326.66","1.95B","-0.75%"
"02/09/2009","1,342.23","1,360.94","1,360.94","1,332.28","1.79B","-0.62%"
"02/06/2009","1,350.64","1,337.58","1,351.91","1,336.52","2.76B","1.70%"
"02/05/2009","1,328.08","1,319.52","1,331.51","1,318.79","1.35B","0.58%"
"02/04/2009","1,320.36","1,311.88","1,320.36","1,307.64","581.74M","1.23%"
"02/03/2009","1,304.33","1,311.20","1,313.49","1,300.07","476.38M","-0.48%"
"02/02/2009","1,310.64","1,330.02","1,330.02","1,298.02","540.91M","-1.65%"
"01/30/2009","1,332.67","1,324.52","1,332.67","1,315.24","556.77M","0.61%"
"01/29/2009","1,324.65","1,333.62","1,336.63","1,319.66","869.71M","0.24%"
"01/28/2009","1,321.45","1,339.94","1,339.94","1,320.79","776.78M","-1.14%"
"01/27/2009","1,336.63","1,320.14","1,340.94","1,320.14","592.65M","1.60%"
"01/23/2009","1,315.59","1,321.43","1,321.43","1,307.53","544.86M","-0.88%"
"01/22/2009","1,327.32","1,332.33","1,336.78","1,314.74","664.57M","0.44%"
"01/21/2009","1,321.45","1,326.68","1,334.91","1,311.39","951.68M","-1.69%"
"01/20/2009","1,344.15","1,335.72","1,344.15","1,320.69","1.07B","-0.48%"
"01/19/2009","1,350.69","1,370.89","1,375.37","1,342.08","1.38B","-0.97%"
"01/16/2009","1,363.88","1,349.82","1,363.88","1,345.40","1.95B","1.52%"
"01/15/2009","1,343.49","1,358.70","1,358.70","1,329.30","863.41M","-3.13%"
"01/14/2009","1,386.91","1,406.51","1,416.06","1,383.26","2.99B","-0.92%"
"01/13/2009","1,399.73","1,395.45","1,412.68","1,392.36","1.26B","-0.48%"
"01/12/2009","1,406.55","1,406.78","1,411.23","1,392.22","1.05B","-0.71%"
"01/09/2009","1,416.67","1,400.70","1,416.67","1,395.32","1.49B","1.00%"
"01/08/2009","1,402.66","1,401.09","1,410.93","1,388.10","1.31B","-1.32%"
"01/07/2009","1,421.47","1,440.25","1,472.46","1,414.15","3.95B","-0.98%"
"01/06/2009","1,435.54","1,438.42","1,462.63","1,430.10","4.48B","-0.13%"
"01/05/2009","1,437.34","1,377.45","1,438.20","1,377.45","2.45B","6.04%"
"12/30/2008","1,355.41","1,345.28","1,361.86","1,345.28","794.68M","1.08%"
"12/26/2008","1,340.89","1,337.60","1,345.01","1,326.71","474.94M","0.32%"
"12/24/2008","1,336.61","1,346.58","1,356.75","1,333.90","993.16M","-0.53%"
"12/23/2008","1,343.72","1,341.45","1,343.72","1,323.49","1.16B","-0.12%"
"12/22/2008","1,345.31","1,344.56","1,348.39","1,327.28","1.50B","-0.22%"
"12/19/2008","1,348.29","1,339.24","1,352.14","1,332.22","2.36B","-0.26%"
"12/18/2008","1,351.76","1,362.55","1,362.55","1,340.67","1.32B","-0.90%"
"12/17/2008","1,363.98","1,371.58","1,376.10","1,348.82","2.04B","1.57%"
"12/16/2008","1,342.84","1,352.67","1,359.16","1,333.90","1.74B","-1.21%"
"12/15/2008","1,359.28","1,285.23","1,359.28","1,285.23","2.09B","7.63%"
